Sapphire Reserve,4000,50000,90
Sapphire Preferred,4000,60000,90
Freedom Flex,500,20000,90
Freedom Unlimited,500,20000,90
Amex Platinum Personal,5000,75000,90
BOFA Cash Rewards,1000,20000,90
Amex Platinum Personal,5000,100000,180
